API,constrinf,constrinf_2,neuri,symbolic,constrinf.1,constrinf_2.1,neuri.1,symbolic.1
tf.raw_ops.ResizeBilinear.models,13550.0,13075.0,17901.0,12399.0,1127.0,1141.0,1467.0,1857.0
tf.raw_ops.ResizeBilinearGrad.models,13446.0,3453.0,16096.0,12398.0,1081.0,79.0,2614.0,3420.0
tf.raw_ops.ResizeNearestNeighbor.models,12312.0,13628.0,16730.0,12413.0,20.0,1120.0,1325.0,1849.0
tf.raw_ops.ReverseV2.models,13559.0,10506.0,12693.0,12398.0,762.0,6.0,2668.0,3132.0
tf.raw_ops.RightShift.models,14132.0,12410.0,14122.0,12398.0,996.0,1269.0,2562.0,3142.0
tf.raw_ops.Rint.models,13375.0,,12411.0,12400.0,1330.0,,2628.0,3130.0
tf.raw_ops.Roll.models,13706.0,13689.0,14376.0,12399.0,991.0,1558.0,42.0,2525.0
tf.raw_ops.Round.models,13393.0,11720.0,12406.0,12398.0,1481.0,1704.0,3249.0,3600.0
tf.raw_ops.Rsqrt.models,12304.0,11978.0,11142.0,10999.0,1517.0,1687.0,3626.0,3790.0
tf.raw_ops.RsqrtGrad.models,14624.0,13249.0,13670.0,10999.0,501.0,220.0,2080.0,2282.0
tf.raw_ops.Select.models,14029.0,11425.0,13696.0,10998.0,482.0,1.0,42.0,3524.0
tf.raw_ops.SelectV2.models,14744.0,14452.0,13835.0,12398.0,431.0,872.0,21.0,2597.0
tf.raw_ops.SelfAdjointEigV2.models,20466.0,20360.0,19880.0,12398.0,617.0,691.0,42.0,1655.0
tf.raw_ops.Selu.models,14866.0,13103.0,12152.0,11001.0,1585.0,1935.0,2867.0,3328.0
tf.raw_ops.SeluGrad.models,14549.0,12060.0,13815.0,10999.0,536.0,120.0,3162.0,3856.0
tf.raw_ops.Shape.models,13703.0,13621.0,13199.0,12398.0,1676.0,1665.0,107.0,2658.0
tf.raw_ops.ShapeN.models,13066.0,13708.0,12962.0,12397.0,507.0,1236.0,22.0,2097.0
tf.raw_ops.Sigmoid.models,14681.0,14618.0,12002.0,10999.0,1749.0,2021.0,3438.0,4005.0
tf.raw_ops.SigmoidGrad.models,14205.0,,13659.0,10998.0,509.0,,2570.0,3317.0
tf.raw_ops.Sign.models,11973.0,11961.0,11016.0,10999.0,1522.0,1648.0,3373.0,3899.0
tf.raw_ops.Sin.models,13825.0,12065.0,11002.0,10999.0,1851.0,2335.0,3406.0,3933.0
tf.raw_ops.Sinh.models,15089.0,13300.0,12547.0,10999.0,1661.0,2093.0,3003.0,3626.0
tf.raw_ops.Slice.models,13766.0,,13517.0,12398.0,972.0,,65.0,2806.0
tf.raw_ops.Snapshot.models,11963.0,8608.0,11031.0,10999.0,1598.0,1888.0,3128.0,3303.0
tf.raw_ops.Softmax.models,16198.0,16136.0,13703.0,10999.0,1442.0,1669.0,2717.0,3353.0
tf.raw_ops.SoftmaxCrossEntropyWithLogits.models,16857.0,13738.0,13896.0,10999.0,1127.0,1359.0,3039.0,3697.0
tf.raw_ops.Softplus.models,14951.0,13232.0,12469.0,10999.0,1654.0,2022.0,3312.0,3849.0
tf.raw_ops.Softsign.models,14715.0,13011.0,12028.0,11004.0,1549.0,1899.0,2863.0,3263.0
tf.raw_ops.SoftsignGrad.models,14890.0,13210.0,13930.0,11534.0,971.0,749.0,2484.0,2751.0
tf.raw_ops.SpaceToDepth.models,13718.0,13689.0,12793.0,12398.0,1137.0,1237.0,1438.0,1636.0
tf.raw_ops.SparseSoftmaxCrossEntropyWithLogits.models,13947.0,10193.0,12801.0,12399.0,660.0,19.0,108.0,2297.0
tf.raw_ops.SparseToDense.models,13713.0,13625.0,12797.0,12397.0,890.0,1156.0,23.0,1705.0
tf.raw_ops.Split.models,12291.0,9824.0,11271.0,11007.0,1522.0,1206.0,26.0,3849.0
tf.raw_ops.Sqrt.models,14146.0,13930.0,11163.0,10999.0,1601.0,1921.0,3221.0,3621.0
tf.raw_ops.SqrtGrad.models,14777.0,,14292.0,10999.0,1089.0,,2989.0,3355.0
tf.raw_ops.Square.models,12105.0,10417.0,11144.0,11001.0,1386.0,1522.0,2737.0,2844.0
tf.raw_ops.SquaredDifference.models,14108.0,12097.0,13753.0,10999.0,790.0,57.0,3154.0,3668.0
tf.raw_ops.Squeeze.models,12371.0,9020.0,11864.0,11004.0,1346.0,1374.0,1067.0,3187.0
tf.raw_ops.StatelessMultinomial.models,17483.0,13746.0,12380.0,12397.0,162.0,1525.0,4.0,2610.0
tf.raw_ops.StatelessRandomGetKeyCounter.models,13760.0,0.0,13436.0,12401.0,726.0,0.0,2152.0,2381.0
tf.raw_ops.StatelessRandomUniformFullInt.models,13632.0,13627.0,15511.0,12398.0,505.0,1025.0,1198.0,1787.0
tf.raw_ops.StatelessRandomUniformFullIntV2.models,12059.0,13303.0,12457.0,12398.0,4.0,1197.0,1624.0,1870.0
tf.raw_ops.StopGradient.models,11966.0,8613.0,11337.0,11016.0,1462.0,1629.0,3092.0,2974.0
